angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.26,,"[1963, 848, 194, 240]",,0.0,,0.02,,0.0,,0.45,,0.26,,0.0,
0.16,,"[1960, 872, 189, 231]",,0.0,,0.02,,0.0,,0.61,,0.2,,0.01,
0.26,,"[1961, 877, 192, 230]",,0.01,,0.03,,0.0,,0.47,,0.23,,0.0,
0.2,,"[1961, 876, 194, 231]",,0.0,,0.03,,0.0,,0.5,,0.26,,0.0,
0.2,,"[1962, 873, 189, 234]",,0.01,,0.01,,0.0,,0.38,,0.41,,0.0,
0.06,,"[1960, 877, 194, 228]",,0.01,,0.01,,0.0,,0.14,,0.78,,0.0,
0.1,,"[1959, 872, 192, 232]",,0.02,,0.02,,0.0,,0.16,,0.71,,0.0,
0.09,,"[1960, 876, 195, 230]",,0.0,,0.01,,0.0,,0.13,,0.76,,0.0,
0.09,,"[1960, 876, 195, 230]",,0.0,,0.01,,0.0,,0.13,,0.76,,0.0,
0.16,,"[1962, 872, 188, 236]",,0.02,,0.02,,0.0,,0.09,,0.7,,0.0,
0.23,,"[1963, 873, 190, 236]",,0.02,,0.01,,0.0,,0.07,,0.66,,0.0,
0.5,,"[1966, 877, 187, 234]",,0.02,,0.03,,0.0,,0.04,,0.41,,0.0,
0.58,,"[1964, 888, 190, 227]",,0.02,,0.03,,0.0,,0.11,,0.27,,0.0,
0.56,,"[1965, 874, 189, 237]",,0.02,,0.03,,0.0,,0.06,,0.33,,0.0,
0.55,,"[1966, 875, 190, 237]",,0.02,,0.03,,0.0,,0.08,,0.32,,0.0,
0.62,,"[1965, 886, 189, 228]",,0.02,,0.03,,0.0,,0.08,,0.25,,0.0,
0.37,,"[1965, 873, 189, 237]",,0.02,,0.03,,0.0,,0.1,,0.48,,0.0,
0.35,,"[1963, 877, 195, 228]",,0.03,,0.04,,0.0,,0.09,,0.48,,0.0,
0.25,,"[1966, 873, 188, 235]",,0.01,,0.02,,0.0,,0.26,,0.46,,0.0,
0.2,,"[1966, 870, 189, 237]",,0.01,,0.02,,0.0,,0.2,,0.56,,0.0,
0.14,,"[1962, 874, 193, 230]",,0.01,,0.01,,0.0,,0.05,,0.78,,0.0,
0.23,,"[1960, 876, 196, 229]",,0.03,,0.02,,0.0,,0.04,,0.68,,0.0,
0.29,,"[1961, 879, 195, 228]",,0.01,,0.02,,0.01,,0.03,,0.63,,0.0,
0.34,,"[1960, 878, 194, 229]",,0.02,,0.03,,0.0,,0.08,,0.53,,0.0,
0.31,,"[1961, 869, 190, 238]",,0.02,,0.02,,0.01,,0.05,,0.59,,0.0,
0.27,,"[1962, 871, 189, 236]",,0.03,,0.01,,0.01,,0.06,,0.62,,0.0,
0.26,,"[1962, 869, 189, 236]",,0.03,,0.02,,0.02,,0.06,,0.61,,0.0,
0.26,,"[1962, 869, 187, 235]",,0.01,,0.01,,0.03,,0.06,,0.62,,0.0,
0.27,,"[1962, 869, 188, 236]",,0.01,,0.02,,0.05,,0.06,,0.58,,0.0,
0.27,,"[1962, 869, 188, 236]",,0.03,,0.03,,0.05,,0.08,,0.55,,0.0,
0.32,,"[1961, 867, 188, 237]",,0.02,,0.02,,0.05,,0.09,,0.5,,0.0,
0.37,,"[1961, 867, 188, 237]",,0.01,,0.03,,0.17,,0.08,,0.34,,0.0,
0.26,,"[1961, 866, 188, 237]",,0.01,,0.03,,0.29,,0.11,,0.31,,0.0,
0.25,,"[1958, 863, 190, 239]",,0.01,,0.02,,0.31,,0.07,,0.34,,0.0,
0.37,,"[1960, 867, 185, 235]",,0.01,,0.03,,0.17,,0.05,,0.37,,0.0,
0.33,,"[1960, 869, 186, 236]",,0.02,,0.02,,0.14,,0.05,,0.43,,0.0,
0.24,,"[1959, 865, 188, 239]",,0.01,,0.02,,0.06,,0.02,,0.65,,0.0,
0.23,,"[1961, 867, 186, 237]",,0.01,,0.03,,0.33,,0.08,,0.33,,0.0,
0.23,,"[1961, 871, 184, 230]",,0.01,,0.04,,0.23,,0.09,,0.39,,0.0,
